name,img,desc,category,time-update,id
Bird Club,/static/icons/Bird-Club.jpg,"Birds, Nature Walks, and More!",Nature,2024-03-05T06:17:48,Bird-Club
Zoology Club,/static/icons/Zoology-Club.jpg,test,Nature,2024-03-26T03:58:39,Zoology-Club
Waste Management Association,/static/icons/Waste-Management-Association.jpg,Keeping the school clean!,Nature,2024-03-08T06:11:21,Waste-Management-Association
VYBE,/static/icons/VYBE.jpg,It's actually cooler than expected.,Arts and Crafts,2024-03-26T00:32:48,VYBE
Multimedia Art Club,/static/icons/Multimedia-Art-Club.jpg,I have no idea what they do.,Arts and Crafts,2024-03-05T06:13:42,Multimedia-Art-Club
Chess Club,/static/icons/Chess-Club.jpg,Best way to end a monday.,Games and Recreation,2024-03-05T06:14:15,Chess-Club
Super Smash Bros Club,/static/icons/Super-Smash-Bros-Club.jpg,I'm really bad at this game.,Games and Recreation,2024-03-05T06:14:28,Super-Smash-Bros-Club
Coding Club,/static/icons/Coding-Club.jpg,Not for actual serious programmers.,Computer Science,2024-03-05T06:14:45,Coding-Club
Thunder Cybersecurity,/static/icons/Thunder-Cybersecurity.jpg,One meeting so far this year...,Computer Science,2024-03-05T06:14:59,Thunder-Cybersecurity
Robotics/EST Club,/static/icons/RoboticsEST-Club.jpg,Manas this really ain't CS :skull:,Computer Science,2024-03-26T00:36:58,RoboticsEST-Club
CSF,/static/icons/CSF.jpg,Money laundering scheme,Leadership,2024-03-05T06:15:49,CSF
Computer Science Honors Society,/static/icons/Computer-Science-Honors-Society.jpg,1 of 3 clubs worth joining,Leadership,2024-03-05T06:16:06,Computer-Science-Honors-Society
Asian Youth Leadership Club(AYLA),/static/icons/Asian-Youth-Leadership-Club(AYLA).jpg,Makes me feel racist!!!!,Leadership,2024-03-05T06:16:28,Asian-Youth-Leadership-Club(AYLA)
Key Club International,/static/icons/Key-Club-International.png,Caring -  Our Way of Life,Leadership,2024-03-23T22:18:13,Key-Club-International
HOSA,/static/icons/HOSA.jpg,Pretty cool,Leadership,2024-03-05T06:17:29,HOSA
Academic Decathlon,/static/icons/Academic-Decathlon.png,"Decathlon Minds, Academic Excellence.",Academics,2024-03-08T06:16:18,Academic-Decathlon
Math Competition Club,/static/icons/Math-Club.png,Even Einstein struggled in math!,Academics,2024-03-23T22:16:49,Math-Competition-Club
